Level 1,Level 2,Level 3,Measure Names,NegPos_Number,List of Values,Measure Values
2016FA,Counseling--B7001,,Census Fill Rate,0 Days,All,0.525925926
2016FA,Counseling--B7001,,Census Enrollment,0 Days,All,71
2016FA,Counseling--B7001,,Number Successful,0 Days,All,44
2016FA,Counseling--B7001,,Ftef,0 Days,All,0.284
2016FA,Counseling--B7001,,Ftes,0 Days,All,2.51
2016FA,Counseling--B7001,,Enrollment Capacity,0 Days,All,135
2016FA,Counseling--B7001,,Count of Migrated Data,0 Days,All,4
2016FA,Counseling--B7001,,Current Enrollment,0 Days,All,71
2016FA,Counseling--L7001,,Wsch/Ftef,0 Days,All,335.9375
2016FA,Counseling--L7001,,Success Rate,0 Days,All,0.693548387
2016FA,Counseling--L7001,,Sec. Count,0 Days,All,5
2016FA,Counseling--L7001,,Retention Rate,0 Days,All,0.919354839
2016FA,Counseling--L7001,,Number Retained,0 Days,All,114
2016FA,Counseling--L7001,,Ftes/Ftef,0 Days,All,11.223958333
2016FA,Counseling--L7001,,Current Fill Rate,0 Days,All,0.468571429
2016FA,Counseling--L7001,,Census Fill Rate,0 Days,All,0.468571429
2016FA,Counseling--L7001,,Census Enrollment,0 Days,All,82
2016FA,Counseling--L7001,,Number Successful,0 Days,All,86
2016FA,Counseling--L7001,,Ftef,0 Days,All,0.384
2016FA,Counseling--L7001,,Ftes,0 Days,All,4.31
2016FA,Counseling--L7001,,Enrollment Capacity,0 Days,All,175
2016FA,Counseling--L7001,,Count of Migrated Data,0 Days,All,5
2016FA,Counseling--L7001,,Current Enrollment,0 Days,All,82
2016FA,Drama--B5012,,Wsch/Ftef,0 Days,All,567.5
2016FA,Drama--B5012,,Success Rate,0 Days,All,0.784615385
2016FA,Drama--B5012,,Sec. Count,0 Days,All,4
2016FA,Drama--B5012,,Retention Rate,0 Days,All,0.938461538
2016FA,Drama--B5012,,Number Retained,0 Days,All,122
2016FA,Drama--B5012,,Ftes/Ftef,0 Days,All,18.9375
2016FA,Drama--B5012,,Current Fill Rate,0 Days,All,0.833333333
2016FA,Drama--B5012,,Census Fill Rate,0 Days,All,0.833333333
2016FA,Drama--B5012,,Census Enrollment,0 Days,All,150
2016FA,Drama--B5012,,Number Successful,0 Days,All,102
2016FA,Drama--B5012,,Ftef,0 Days,All,0.8
2016FA,Drama--B5012,,Ftes,0 Days,All,15.15
2016FA,Drama--B5012,,Enrollment Capacity,0 Days,All,180
